target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
TB12_power_target_6hour,xgboost,6hour,360.2296,466.4347,16.3741,21.2016,89.9306,0.2988,1869.655,0.2959,0.2959,-0.0039,454.2381,21467,0,6105
TB12_power_target_6hour,lightgbm,6hour,357.3005,462.6871,16.2409,21.0312,92.2631,0.3101,1917.1272,0.3011,0.3011,0.0041,450.1579,21467,0,6105
TB12_power_target_24hour,xgboost,24hour,415.6685,515.2701,18.894,23.4214,108.4467,0.1483,1829.3455,0.136,0.136,-0.0445,501.5464,20820,0,6010
TB12_power_target_24hour,lightgbm,24hour,410.6924,511.1359,18.6678,23.2334,99.701,0.1619,1747.7426,0.1429,0.1429,-0.0361,501.3405,20820,0,6010
farm_total_power_target_10min,xgboost,10min,800.6396,1209.73,3.0327,4.5823,106.0792,0.9691,15070.899,0.0339,0.0339,-0.0201,1290.0729,22465,0,3636
farm_total_power_target_10min,lightgbm,10min,793.9822,1216.2328,3.0075,4.6069,104.6902,0.9688,15558.9671,0.0287,0.0287,-0.0255,1305.4924,22465,0,3636
farm_total_power_target_30min,xgboost,30min,1728.2906,2453.9297,6.5466,9.2952,267.9862,0.8728,22105.0348,-0.0012,-0.0012,-0.0654,2505.251,22465,0,3633
farm_total_power_target_30min,lightgbm,30min,1591.0007,2347.7305,6.0265,8.8929,130.5033,0.8836,22429.5976,0.0421,0.0421,-0.0193,2505.632,22465,0,3633
farm_total_power_target_1hour,xgboost,1hour,2341.9984,3231.1387,8.8712,12.2392,185.9529,0.7794,21756.2781,0.0666,0.0666,-0.0365,3387.6256,22465,0,3627
farm_total_power_target_1hour,lightgbm,1hour,2257.6731,3198.7379,8.5518,12.1164,77.0376,0.7838,21273.2791,0.076,0.076,-0.0261,3403.8643,22465,0,3627
farm_total_power_target_6hour,xgboost,6hour,3918.7418,4962.3352,14.8437,18.7967,350.4786,0.4762,19366.1902,0.389,0.389,0.0163,5128.7405,22465,0,3687
