fold,model,target,mae,rmse,r2,n_val
1,lightgbm,TB08_power_target_24hour,437.4387,556.5878,0.196,46071
2,xgboost,TB08_power_target_24hour,462.2578,559.5172,0.1281,45679
2,lightgbm,TB08_power_target_24hour,438.9947,538.5476,0.1923,45679
3,xgboost,TB08_power_target_24hour,457.3196,570.4403,0.2141,44291
3,lightgbm,TB08_power_target_24hour,449.8364,564.3042,0.231,44291
1,xgboost,TB09_power_target_10min,111.6087,168.2864,0.9285,46073
1,lightgbm,TB09_power_target_10min,101.7019,160.3497,0.9351,46073
2,xgboost,TB09_power_target_10min,102.262,162.3134,0.9306,43803
2,lightgbm,TB09_power_target_10min,98.5749,159.247,0.9332,43803
3,xgboost,TB09_power_target_10min,107.404,167.3885,0.9318,36098
3,lightgbm,TB09_power_target_10min,102.3544,167.5206,0.9317,36098
1,xgboost,TB09_power_target_30min,191.5797,271.8963,0.8134,46061
1,lightgbm,TB09_power_target_30min,182.7419,264.3881,0.8236,46061
2,xgboost,TB09_power_target_30min,178.5978,268.1225,0.8105,43797
2,lightgbm,TB09_power_target_30min,178.5593,264.9587,0.815,43797
3,xgboost,TB09_power_target_30min,180.8443,274.4753,0.8167,36087
3,lightgbm,TB09_power_target_30min,176.3398,265.1526,0.8289,36087
1,xgboost,TB09_power_target_1hour,250.5355,341.4603,0.7058,46058
1,lightgbm,TB09_power_target_1hour,242.701,334.4537,0.7177,46058
2,xgboost,TB09_power_target_1hour,246.7295,332.8111,0.708,43791
2,lightgbm,TB09_power_target_1hour,229.298,323.2255,0.7246,43791
3,xgboost,TB09_power_target_1hour,265.5813,360.7968,0.6833,36066
3,lightgbm,TB09_power_target_1hour,243.403,347.8055,0.7057,36066
1,xgboost,TB09_power_target_6hour,393.8711,503.3625,0.3619,46041
1,lightgbm,TB09_power_target_6hour,390.0861,500.4214,0.3694,46041
2,xgboost,TB09_power_target_6hour,343.6658,456.4099,0.4513,43778
2,lightgbm,TB09_power_target_6hour,338.5207,451.1549,0.4639,43778
3,xgboost,TB09_power_target_6hour,365.7354,481.4221,0.4359,36000
3,lightgbm,TB09_power_target_6hour,356.3554,474.8892,0.4511,36000
1,xgboost,TB09_power_target_24hour,448.6284,568.0312,0.1869,46062
1,lightgbm,TB09_power_target_24hour,437.5398,561.255,0.2061,46062
2,xgboost,TB09_power_target_24hour,449.4213,548.6046,0.2018,45695
2,lightgbm,TB09_power_target_24hour,430.6145,537.2962,0.2343,45695
