timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-17,2026-01-17,TB05,30,297.42,72.08,727.48,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB05,30,308.49,75.71,743.48,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB05,60,320.9,43.95,889.52,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB05,60,318.92,38.92,890.03,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB05,360,350.92,0.0,1196.36,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB05,360,344.05,0.0,1184.59,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB05,1440,539.04,7.32,1465.19,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB05,1440,541.03,9.34,1452.64,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB06,10,318.11,189.26,555.52,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB06,10,321.35,190.46,564.72,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB06,30,324.64,118.46,715.44,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB06,30,331.15,116.99,725.11,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB06,60,341.98,73.08,864.91,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB06,60,354.41,64.28,880.23,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB06,360,540.75,43.75,1309.51,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB06,360,562.13,55.87,1325.98,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB06,1440,490.39,6.14,1360.04,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB06,1440,490.9,5.85,1342.63,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB07,10,234.93,108.4,471.49,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB07,10,234.66,109.74,472.96,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB07,30,267.01,62.19,659.55,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB07,30,273.86,62.38,666.25,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB07,60,288.85,27.89,801.72,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB07,60,280.26,24.97,794.59,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB07,360,261.83,0.0,1003.57,2.0.0_lightgbm,reference_only
