model_key                   , status, target_column_not_in_X, future_timestamp_not_used, fit_only_on_train, prediction_timestamp_gt_issue, duplicated_rows, feature_leakage, target_leakage, failed_checks
ModelStatusTB12_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusFarm_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
